Key,Item Type,Publication Year,Author,Title,Publication Title,Url,Abstract Note,Date,Access Date,Date Added,Date Modified
ACPV4TPP,webpage,2015,"Merlet, Jean-Pierre",Des robots et des humains,Interstices,https://interstices.info/robots-et-humains,"Avec l’apparition de la robotique de service, les robots évoluent de plus en plus au contact des humains. Quelles questions cela soulève-t-il ?",20-02-15,07-05-17 18:55,07-05-17 18:55,28-05-17 11:25
ZDKZ269T,magazineArticle,2013,"Le Guilcher, Geoffrey",Les Inrocks - Pourquoi les robots auront bientôt des droits,Les Inrocks,http://www.lesinrocks.com/2013/10/02/actualite/pourquoi-les-robots-auront-bientot-droits-11432329/,"Des avocats planchent sur la création d’une “personnalité robot” et l’attribution d’un numéro de sécurité sociale, le ministère du Redressement productif travaille sur un projet de charte éthique non contraignante, la Commission européenne réfléchit à leur conférer la personnalité morale… De manière protéiforme, le droit des robots émerge.",02-10-13,07-05-17 19:13,07-05-17 19:13,28-05-17 11:21
Q6W67NHK,webpage,2008,"Trégouët, René",Les robots vont-ils sauver nos sociétés vieillissantes ?,RTFlash,http://www.rtflash.fr/robots-vont-ils-sauver-nos-societes-vieillissantes/article,,18-04-08,07-05-17 19:15,07-05-17 19:15,28-05-17 11:22
FP79953H,magazineArticle,2017,"Agliolo, Mike","Les robots, une chance pour l'homme ?",Capital,http://www.capital.fr/polemik/les-robots-une-chance-pour-l-homme-1223830,"Les robots font partie de notre quotidien. On définit un robot comme un “appareil automatique capable de manipuler des objets ou d'exécuter des opérations selon un programme fixe, modifiable ou adaptable”. Nous n'en sommes pas encore aux robots humanoïdes capables de tenir une véritable conversation, mais ils suscitent déjà autant de fascination que de peur. Alors, faut-il avoir peur des robots ? Vont-ils remplacer l’homme au travail, avant de se retourner contre lui ?",26-04-17,07-05-17 19:55,07-05-17 19:55,28-05-17 11:21
A6UNUPS4,magazineArticle,2017,"Mangin, Pierre","Robots Humanoïdes : Quelle Utilisation ""Business"" ?",Forbes France,https://www.forbes.fr/technologie/robots-humanoides-quelle-utilisation-business/,"Les entreprises s’intéressent de plus en plus aux robots humanoïdes, qui sont de moins en moins perçus comme des gadgets. Et pas seulement au Japon ou en Chine. Des enseignes très sérieuses commencent à les utiliser. Mais pour en faire quoi ?",22-02-17,07-05-17 19:57,07-05-17 19:57,28-05-17 11:51
7CU2B7DA,newspaperArticle,2017,"Becquet, Nicolas",Quand nous préférerons les robots aux humains,L'Echo,http://www.lecho.be/dossier/hommemachine/Quand-nous-prefererons-les-robots-aux-humains/9889393,"Un jour prochain, les robots humanoïdes feront partie de notre quotidien. Comment cohabiterons-nous avec cette intelligence artificielle installée à domicile?",04-05-17,07-05-17 19:57,07-05-17 19:57,28-05-17 11:21
34RU6EKT,newspaperArticle,2017,"Becker, Joffrey",Pourquoi socialisons-nous avec les robots ?,La Tribune,http://www.latribune.fr/opinions/tribunes/pourquoi-socialisons-nous-avec-les-robots-686531.html,"Les robots sont d’étranges créatures, mais peut-être pas seulement pour les raisons que l’on invoque. Nous avons en fait de bonnes raisons d’éprouver un peu d’inquiétude à propos de ces machines. Par Joffrey Becker, Massachusetts Institute of Technology",17-04-17,07-05-17 19:58,07-05-17 19:58,28-05-17 11:18
EPED67PQ,magazineArticle,2016,"Eudes, Yves","Je suis Pepper, le petit robot, l'ami de l'Homme",Le Monde,http://www.lemonde.fr/grands-formats/visuel/2016/11/04/je-suis-pepper-le-petit-robot-l-ami-de-l-homme_5025627_4497053.html,"Le robot humanoïde ne sait ni cuisiner ni réparer un robinet, mais il est le premier « robot compagnon » conçu pour partager notre quotidien",04-11-16,07-05-17 20:01,07-05-17 19:59,28-05-17 11:24
2XSSII8K,magazineArticle,2010,"Ichbiah, Daniel",Le mythe du robot qui menace l'Homme,AgoraVox,http://www.agoravox.fr/actualites/technologies/article/le-mythe-du-robot-qui-menace-l-71425,"Un robot, c’est quoi au juste ? Un outil créé par l’Homme afin de résoudre des choses que son corps a du mal à accomplir. En tant que tel, il entre dans la même catégorie que la fourchette, le lave-vaisselle, la fusée, etc. Un robot se compose d’une structure mécanique mobile, de capteurs, de fils, de microprocesseurs et d’un logiciel. Il ressemble à s’y méprendre à un ordinateur, comme celui que tout un chacun a sur son bureau. La différence, c’est qu’il peut bouger et percevoir des choses du dehors. Maintenant, qui pourrait imaginer que ce même ordinateur puisse acquérir un jour une conscience le long de ses circuits et qu’il puisse vouloir se débarrasser de son utilisateur. Hmm…. Si quelqu’un affirmait cela, il passerait pour un attardé pas vrai ? Pourtant, dès lors que l’on parle du robot, la chose est affirmée par des gens respectables…",12-03-10,07-05-17 20:06,07-05-17 20:06,28-05-17 11:22
XWBAHERI,magazineArticle,2015,"Devillers, Laurence; Telos",Créer une relation affective avec un robot n’est pas de la science-fiction,Slate.fr,http://www.slate.fr/story/108717/relations-affectives-robot,"Même si les machines ne seront pas capables de sentiments, on pourrait s’attacher à elles...",04-11-15,07-05-17 20:49,07-05-17 20:49,28-05-17 11:54
KIVBZD92,newspaperArticle,2017,"Dufour, Audrey","Les robots pour les personnes âgées, est-ce une bonne idée ?",La Croix,http://www.la-croix.com/Sciences/Sciences/Les-robots-pour-personnes-agees-bonne-idee-2017-01-26-1200820188,"Les robots vont-ils s’imposer à côté des soignants ou au domicile des personnes âgées ? Entre maintien d’un lien social et déshumanisation, le débat mérite d’être posé alors que les solutions technologiques existent déjà.",26-01-17,07-05-17 20:53,07-05-17 20:53,28-05-17 11:20
IMFKGCUN,newspaperArticle,2016,"Lemaitre, Eric","L'Intelligence artificielle, fascination et déshumanisation…",Info Chrétienne,https://www.infochretienne.com/lintelligence-artificielle-fascination-deshumanisation/,"Dans le monde industriel l’homme a suppléé puis gommé les gestes humains répétés. La mécanisation puis la robotisation des tâches manuelles a peu à peu remplacé ce qui n’était pas jugé comme qualifiant et qu’il semblait assez simple de reproduire, pour le faire à la place de « l’ouvrier hyper spécialisé ». Ce fut à l’évidence un gain économique et une augmentation de l’efficience au sein de l’industrie.",23-10-16,07-05-17 20:54,07-05-17 20:54,28-05-17 11:20
ZXXMCAWM,webpage,2017,"Sussan, Rémi",Le mythe de l’IA surhumaine,InternetActu - Le Monde,http://internetactu.blog.lemonde.fr/2017/05/21/le-mythe-de-lia-surhumaine/,,21-05-17,21-05-17 13:28,21-05-17 13:28,28-05-17 11:23
PHGT8QVA,newspaperArticle,2013,"Davis, Nicola","Smart robots, driverless cars work – but they bring ethical issues too",The Guardian,https://www.theguardian.com/technology/2013/oct/20/artificial-intelligence-impact-lives,"Educational robots, intelligent implants, brain chips: scientists and legal experts will meet this week to debate how to deal with the rapid march of artificial intelligence.",20-10-13,24-05-17 19:43,24-05-17 19:43,28-05-17 11:07
